Allele,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,D3S1358,vWA,D16S539,CSF1PO,TPOX,D8S1179,D21S11,D18S51,D2S441,D19S433,TH01,FGA
31.1,,,,,0.000656599,,,,,,,,,,,,,,,,
31.2,,,,,0.018056467,,,,,,,,,,,0.067263088,,,,,
32,,,,,,,,,,,,,,,,0.01888668,,,,,
32.1,,,,,0.000984898,,,,,,,,,,,,,,,,
32.2,,,,,0.01083388,,,,,,,,,,,0.117627568,,,,,
33,,,,,,,,,,,,,,,,0.002650762,,,,,
33.1,,,,,,,,,,,,,,,,0.002319417,,,,,
33.2,,,,,0.004267892,,,,,,,,,,,0.043074884,,,,,
34,,,,,,,,,,,,,,,,0.001325381,,,,,
34.2,,,,,0.000656599,,,,,,,,,,,0.003976143,,,,,
